"zone","shift","routeClient","vehicle","cost","rateZone","drivingDistance","drivingTime","totalTime","co2","d1","d2"
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3701,"VAN2","$4.35","VIC Mornington Peninsula",227908,17325,26445,"67kg",80.4,76
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3702,"VAN27","$4.58","VIC Mornington Peninsula",205054,15362,23522,"60kg",76.4,68
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3703,"VAN3","$3.82","VIC Mornington Peninsula",183006,15389,25829,"54kg",91.7,87
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3704,"VAN30","$3.72","VIC Mornington Peninsula",173096,17328,28488,"51kg",94.20000000000002,93
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3705,"VAN13","$3.76","VIC Mornington Peninsula",175739,17829,28029,"52kg",93,85
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3706,"VAN7","$3.95","VIC Mornington Peninsula",200100,21813,30573,"59kg",88.50000000000001,73
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3707,"VAN6","$4.60","VIC Outer Melbourne East",210850,21365,29885,"62kg",73.6,71
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3708,"VAN5","$4.50","Melbourne Metro",87861,10924,21484,"26kg",94.20000000000002,88
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3709,"VAN23","$4.50","VIC Outer Melbourne East",191585,19626,29586,"56kg",89.2,83
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3710,"VAN18","$4.50","Melbourne Metro",88396,11641,22561,"26kg",95.5,91
