"zone","shift","routeClient","vehicle","cost","rateZone","drivingDistance","drivingTime","totalTime","co2","d1","d2"
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3711,"VAN36","$4.63","VIC Outer Melbourne East",217806,19557,28917,"64kg",86.7,78
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3712,"VAN24","$4.50","Melbourne Metro",78605,10695,20775,"23kg",87.8,84
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3713,"VAN14","$4.59","Melbourne Metro",213688,22209,32049,"63kg",99.00000000000001,82
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3714,"VAN20","$4.50","Melbourne Metro",83739,11756,21836,"25kg",91.2,84
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3715,"VAN10","$4.51","Melbourne Metro",200876,20781,30021,"59kg",85.5,77
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3716,"VAN19","$4.50","Melbourne Metro",92433,12226,21946,"27kg",88.5,81
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3717,"VAN32","$4.50","Melbourne Metro",117782,14913,25833,"35kg",95.1,91
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3718,"VAN29","$4.50","Melbourne Metro",90438,11487,22167,"27kg",100.60000000000002,89
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3719,"VAN15","$4.50","VIC Outer Melbourne East",197105,20338,31618,"58kg",99.7,94
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3720,"VAN34","$4.50","Melbourne Metro",84739,10492,20692,"25kg",93,85
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3721,"VAN28","$4.68","VIC Outer Melbourne East",222081,18534,27534,"65kg",81.29999999999998,75
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3722,"VAN33","$4.81","VIC Outer Melbourne West",243769,23368,32968,"72kg",90.8,80
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3723,"VAN1","$4.50","VIC Outer Melbourne West",154086,16586,26426,"45kg",85.9,82
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3724,"VAN8","$4.53","VIC Outer Melbourne East",204283,18123,27843,"60kg",84.8,81
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3725,"VAN31","$4.50","Melbourne Metro",112023,13688,23528,"33kg",84.4,82
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3726,"VAN22","$4.50","Melbourne Metro",96134,12156,21756,"28kg",83.00000000000003,80
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3727,"VAN25","$4.70","VIC Outer Melbourne West",229398,24152,33992,"68kg",96.80000000000001,82
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3728,"VAN16","$4.50","Melbourne Metro",139538,16325,26525,"41kg",90.10000000000001,85
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3729,"VAN9","$4.89","VIC Outer Melbourne East",258211,21660,31260,"76kg",96.1,80
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3730,"VAN21","$4.58","VIC Outer Melbourne West",210674,21620,30740,"62kg",84.2,76
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3731,"VAN4","$4.79","VIC Outer Melbourne West",236019,22155,31515,"70kg",81.5,78
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3732,"VAN11","$4.50","VIC Outer Melbourne West",193891,22002,32922,"57kg",99.10000000000001,91
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3733,"VAN12","$4.50","Melbourne Metro",141501,15480,25200,"42kg",86.9,81
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3734,"VAN35","$4.74","VIC Outer Melbourne West",235947,22082,33387,"70kg",96.7,84
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne East & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3735,"VAN38","$4.59","VIC Outer Melbourne West",210491,22730,31370,"62kg",77,72
