"zone","shift","routeClient","vehicle","cost","rateZone","drivingDistance","drivingTime","totalTime","co2","d1","d2"
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3721,"VAN30","$4.50","VIC Outer Melbourne West",195627,17547,27987,"58kg",100.60000000000001,87
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3722,"VAN3","$4.50","VIC Outer Melbourne West",194676,19245,29565,"57kg",92.60000000000001,86
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3723,"VAN29","$4.68","VIC Outer Melbourne West",224363,19330,27850,"66kg",88.00000000000001,71
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3724,"VAN20","$4.50","Melbourne Metro",167597,16806,26166,"49kg",91.4,78
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3725,"VAN13","$4.50","Melbourne Metro",191688,17324,27644,"57kg",93.4,86
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3726,"VAN48","$4.50","VIC Outer Melbourne West",178699,17115,26835,"53kg",83.20000000000002,81
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3727,"VAN45","$4.50","VIC Outer Melbourne West",199320,19852,30172,"59kg",88.6,86
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3728,"VAN12","$4.50","Melbourne Metro",154010,15476,25796,"45kg",91.6,86
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3729,"VAN31","$4.50","Melbourne Metro",141049,15283,25723,"42kg",91.80000000000001,87
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3730,"VAN37","$4.50","Melbourne Metro",170379,17130,27450,"50kg",91.4,86
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3731,"VAN10","$4.50","Melbourne Metro",162724,15843,25683,"48kg",98,82
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3732,"VAN21","$4.50","Melbourne Metro",176538,18845,30191,"52kg",86.60000000000002,80
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3733,"VAN23","$4.50","Melbourne Metro",197221,19718,31546,"58kg",84.6,77
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3734,"VAN44","$4.50","Melbourne Metro",166994,18008,27248,"49kg",100.60000000000002,77
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3735,"VAN46","$4.31","VIC Mornington Peninsula",179762,17135,26735,"53kg",81.20000000000002,80
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3736,"VAN24","$3.38","VIC Mornington Peninsula",156082,16041,29672,"46kg",103.60000000000001,91
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3737,"VAN9","$4.36","VIC Mornington Peninsula",196868,15235,25645,"58kg",80.19999999999999,72
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3738,"VAN19","$4.64","VIC Mornington Peninsula",202751,16545,27565,"60kg",75.4,72
"VIC Bendigo","day",3500,"VAN4","$5.08","VIC Bendigo",338551,22446,32526,"100kg",88.6,84
"VIC Bendigo","day",3501,"VAN3","$5.97","VIC Bendigo",463518,26699,35459,"137kg",75.4,73
"VIC Bendigo","day",3502,"VAN5","$5.07","VIC Bendigo",285878,19756,29956,"84kg",88.8,85
"VIC Bendigo","day",3503,"VAN2","$4.92","VIC Bendigo",287261,19783,29863,"85kg",91.4,84
"VIC Bendigo","day",3504,"VAN32","$4.74","VIC Bendigo",167706,14706,25146,"49kg",95,87
"VIC Geelong & VIC Geelong Regional - Lorne & VIC Geelong Regional - Apollo Bay","day",3207,"VAN1","$3.79","VIC Geelong",331602,24849,34569,"98kg",99.00000000000001,81
"VIC Geelong & VIC Geelong Regional - Lorne & VIC Geelong Regional - Apollo Bay","day",3208,"VAN2","$4.64","VIC Geelong",251888,19655,29255,"74kg",80.8,80
"VIC Geelong & VIC Geelong Regional - Lorne & VIC Geelong Regional - Apollo Bay","day",3209,"VAN3","$4.49","VIC Geelong",243419,19888,29488,"72kg",83.60000000000001,80
"VIC Geelong & VIC Geelong Regional - Lorne & VIC Geelong Regional - Apollo Bay","day",3210,"VAN4","$5.40","VIC Geelong Regional - Apollo Bay",389713,26401,35881,"115kg",92.6,79
