"zone","shift","routeClient","vehicle","cost","rateZone","drivingDistance","drivingTime","totalTime","co2","d1","d2"
"VIC Ballarat","day",3300,"VAN1","$4.34","VIC Ballarat",333762,22523,31883,"98kg",92.2,78
"VIC Ballarat","day",3301,"VAN11","$4.26","VIC Ballarat",227363,15320,24800,"67kg",93.8,79
"VIC Ballarat","day",3302,"VAN9","$4.54","VIC Ballarat",241299,16346,26186,"71kg",88.2,82
"VIC Ballarat","day",3303,"VAN8","$3.98","VIC Ballarat",261977,18123,27843,"77kg",100.4,81
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3701,"VAN6","$4.50","Melbourne Metro",76667,8931,19131,"23kg",92.2,85
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3702,"VAN26","$4.50","Melbourne Metro",52115,7222,16822,"15kg",90.2,80
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3703,"VAN39","$4.50","Melbourne Metro",72309,8131,17131,"21kg",97.60000000000002,75
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3704,"VAN41","$4.50","Melbourne Metro",72513,7974,14454,"21kg",115.60000000000001,54
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3705,"VAN5","$4.50","Melbourne Metro",71764,7937,17537,"21kg",105.6,80
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3706,"VAN28","$4.50","Melbourne Metro",84115,9917,19877,"25kg",89.6,83
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3707,"VAN4","$4.50","Melbourne Metro",66528,8665,19345,"20kg",102.2,89
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3708,"VAN49","$4.50","Melbourne Metro",82977,10136,21296,"24kg",100.6,93
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3709,"VAN43","$4.50","Melbourne Metro",82505,9605,20405,"24kg",99,90
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3710,"VAN7","$4.50","Melbourne Metro",68949,9130,19690,"20kg",97,88
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3711,"VAN16","$4.50","Melbourne Metro",76094,9271,20551,"22kg",101.80000000000001,94
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3712,"VAN14","$4.50","VIC Outer Melbourne West",127694,14003,25872,"38kg",96.20000000000002,84
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3713,"VAN11","$4.50","VIC Outer Melbourne West",195456,16910,27950,"58kg",102.79999999999998,92
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3714,"VAN47","$4.50","VIC Outer Melbourne West",160616,16351,26551,"47kg",97.60000000000001,85
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3715,"VAN40","$4.50","VIC Outer Melbourne West",190839,18817,30097,"56kg",102.60000000000001,94
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3716,"VAN2","$4.50","VIC Outer Melbourne West",189061,19137,30177,"56kg",104.4,92
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3717,"VAN35","$4.50","VIC Outer Melbourne West",162447,17503,27583,"48kg",89.00000000000001,84
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3718,"VAN25","$4.50","VIC Outer Melbourne West",179166,18388,29668,"53kg",98.60000000000002,94
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3719,"VAN1","$4.50","Melbourne Metro",157417,15441,26001,"46kg",99.2,88
"VIC Melbourne Metro & VIC Mornington Peninsula & VIC Outer Melbourne West & VIC Melbourne Metro Inner","day",3720,"VAN8","$4.50","VIC Outer Melbourne West",188036,17249,27209,"55kg",97.20000000000002,83
